subject,t_center_s,label,is_stress,eda_mean,eda_std,scl_mean,scl_slope,scr_rate,scr_mean_amp,scr_auc,hr_mean,hr_std,rmssd,sdnn,pnn50,temp_mean,temp_slope,temp_std,acc_mean,acc_var,enmo,cort_mean,cort_slope,cort_auc
S2,310.0,1,0,1.3856275081634521,0.153146892786026,1.3800632794395766,-0.003701225383216142,19.0,0.10153017812787204,1.821906238084683,79.21262455228697,13.712843383408224,170.00402109214946,123.33083946479533,74.0,35.81550216674805,0.00016528586074344878,0.013714490458369255,0.9870340824127197,0.004779926501214504,0.01546529121696949,5.1915116,0.1839968,5.16905
S2,315.0,1,0,1.347748041152954,0.15669117867946625,1.3501860147568867,-0.0035593357886135766,18.0,0.10586774434890328,1.7720030082486975,79.58312073816104,13.738062776182536,152.98776098692488,124.68916309729697,71.69811320754717,35.81816864013672,0.0001780603380640198,0.014316802844405174,0.9875761866569519,0.004907401278614998,0.016321055591106415,5.1925755,0.14901464,5.1689553
S2,320.0,1,0,1.3368781805038452,0.15450771152973175,1.3394710117401032,-0.0039662244678469035,16.0,0.10945828082922272,1.8037510638625944,79.26944109903776,13.570077649431777,158.21964577090412,123.81149861819233,72.22222222222221,35.816505432128906,-0.00011083752945976653,0.016209587454795837,0.9868045449256897,0.003362127812579274,0.012824327684938908,5.186528,0.19257963,5.16375
S2,325.0,1,0,1.3287791013717651,0.1596444845199585,1.3303297073672147,-0.005052361622033343,17.0,0.10374537308664136,1.8551044997180366,80.60895324594675,13.982978803117819,169.77164966701707,127.57627823655143,79.24528301886792,35.81483459472656,-0.00037528996865050774,0.018119292333722115,0.9864007830619812,0.0033483596052974463,0.012694474309682846,5.198862,0.11400065,5.17609
S2,330.0,1,0,1.3197616338729858,0.1648358553647995,1.3243927221325014,-0.006880932087587066,18.0,0.08800368601853033,1.8181988707205976,83.8443984451913,14.553537770660775,180.35561532134557,125.17720139108665,78.43137254901961,35.810001373291016,-0.0007311386309459787,0.022730572149157524,0.9855358600616455,0.0031755075324326754,0.011859872378408909,5.206765,0.034200627,5.185683
S2,335.0,1,0,1.302966833114624,0.1594076305627823,1.3022808142329718,-0.007155625250738717,20.0,0.07083651141255284,1.5559182594445846,85.14930786648716,15.000731716115052,193.09711709371,127.54656544941514,80.3921568627451,35.804500579833984,-0.0010708756396263944,0.02704513818025589,0.9851422905921936,0.0024521632585674524,0.009452476166188717,5.223892,0.13684455,5.2018456
S2,340.0,1,0,1.261387586593628,0.13598202168941498,1.261893203338649,-0.005855435115464541,18.0,0.07242426224366377,1.4468755940280207,83.9832600273665,15.399071926845469,192.67380278766592,132.28159086414885,77.35849056603774,35.79883575439453,-0.0014342220076385165,0.031257085502147675,0.9852802157402039,0.0021839223336428404,0.0085134943947196,5.2376657,0.036678363,5.2159624
S2,345.0,1,0,1.222088098526001,0.12398812174797058,1.2229109110180494,-0.005154150427551295,18.0,0.07149496172502524,1.4350612574293642,81.15843449279456,15.101445124979026,181.29688889028486,135.07917788290194,68.51851851851852,35.78983688354492,-0.001804235310650396,0.037171076983213425,0.985841691493988,0.002180651295930147,0.0085134943947196,5.232928,-0.031434633,5.2084727
S2,350.0,1,0,1.181816816329956,0.1179388239979744,1.1838468806211522,-0.004971164403908376,17.0,0.07443889448674333,1.3585814257218094,77.15371136593093,13.057217599128416,163.5102990570541,124.67447049397406,61.81818181818181,35.77983474731445,-0.002153692760575781,0.042407192289829254,0.9854501485824585,0.0021050197537988424,0.007933429442346096,5.231645,-0.07289919,5.2091255
S2,355.0,1,0,1.1484516859054565,0.12670816481113434,1.1482315463544053,-0.005438175813748773,18.0,0.06881683857944226,1.3242344023428132,78.56151996206967,13.246486866590702,153.90184729786358,120.3620929534664,57.6271186440678,35.768001556396484,-0.002603417984008455,0.049322716891765594,0.9855720400810242,0.0019831443205475807,0.0074410345405340195,5.2331643,-0.07617826,5.2100935
S2,360.0,1,0,1.1124327182769775,0.14084270596504211,1.1157291829016955,-0.006803448270823658,17.0,0.06248168901999989,1.1366804328822362,77.83095906155555,12.90944409216718,165.20397081693952,121.960195762698,57.89473684210527,35.75899887084961,-0.0027878664614400758,0.051501449197530746,0.9868366718292236,0.002026061061769724,0.00808895006775856,5.2331166,0.07129587,5.211
S2,365.0,1,0,1.0818860530853271,0.15561048686504364,1.0868833594589808,-0.008314035888400335,15.0,0.04910321362542685,0.9090966478539246,78.97903434183458,13.167929072736976,161.13066955863428,122.43421166374411,55.172413793103445,35.75016403198242,-0.0026864735446329724,0.05041526257991791,0.987156331539154,0.0010791406966745853,0.00527413422241807,5.2329955,0.073179275,5.2117333
S2,370.0,1,0,1.0432990789413452,0.15781550109386444,1.0435972110891898,-0.00822699755764889,13.0,0.04030339090251807,0.6524265739726063,79.69754535554534,13.277428066318834,157.91142554915243,120.73366993934975,58.620689655172406,35.739498138427734,-0.0024720180315906393,0.047834377735853195,0.9874460697174072,0.0006254331092350185,0.0036615405697375536,5.220526,0.042741768,5.1983547
S2,375.0,1,0,1.0136760473251343,0.1690361499786377,1.0132723472514082,-0.009480539517182456,15.0,0.02730401700997612,0.44924035299087983,77.24551762133358,12.00427611380592,164.00934513063143,114.8119780792934,57.14285714285714,35.727333068847656,-0.002005058236518467,0.04020261391997337,0.9873970150947571,0.00048780208453536034,0.0028238375671207905,5.2454247,0.10945421,5.2244883
S2,380.0,1,0,0.9693604707717896,0.16169250011444092,0.9705734459771321,-0.009200203760793974,13.0,0.025767915793676106,0.3443335880543742,76.24171149092162,11.38599292842164,150.19803721677565,110.71510015104805,54.385964912280706,35.71933364868164,-0.0016883806254363966,0.03660016134381294,0.9876415133476257,0.00043929286766797304,0.0025521183852106333,5.234732,-0.0035452526,5.214164
S2,385.0,1,0,0.9294173717498779,0.15863201022148132,0.9276061621727734,-0.00871692645095444,10.0,0.034524090218629136,0.37021257452181006,74.56599133757493,10.909115420964959,142.15481236955912,108.14619149020555,49.122807017543856,35.71299743652344,-0.0010866982189425482,0.029625464230775833,0.9875476956367493,0.00040904636261984706,0.00231329258531332,5.2292557,-0.07829117,5.2076697
S2,390.0,1,0,0.8888389468193054,0.15205571055412292,0.8893020287904965,-0.008532276384544788,7.0,0.026820537911454605,0.20327067366979773,73.20437282976098,9.999119369169328,129.30415230023874,102.74805542218064,46.666666666666664,35.709999084472656,-0.0005394624482820867,0.02633114904165268,0.987933874130249,0.00038562584086321294,0.002154933987185359,5.235321,-0.10256647,5.2158585
S2,395.0,1,0,0.8499370813369751,0.13422361016273499,0.8499642441379398,-0.007497373210383515,8.0,0.02572639785984694,0.23906754582333856,73.79666405880805,10.524348247442587,114.32262006415586,106.91390936820822,43.333333333333336,35.70833206176758,4.444146487889874e-05,0.024025294929742813,0.9881725311279297,0.00042054124060086906,0.002477608621120453,5.2175846,-0.023038827,5.1948085
S2,400.0,1,0,0.8135495781898499,0.11558464169502258,0.8139152570299065,-0.006436607623037573,9.0,0.02455208055117038,0.24880993013243288,74.79554488000296,10.841393234698023,117.81084216340193,109.46224732646785,45.0,35.70699691772461,0.0005533423592903581,0.02245715633034706,0.9886796474456787,0.0004284293681848794,0.0025404596235603094,5.2200713,-0.009136319,5.1984816
S2,405.0,1,0,0.780819296836853,0.09955468773841858,0.7814156685164212,-0.005553719957897519,9.0,0.02402299889553361,0.23894368343129466,75.36595631157219,10.660230072706518,108.81553341550094,105.5707551785333,46.55172413793103,35.70833206176758,0.0008589017362018386,0.023463735356926918,0.9893456697463989,0.0004297617415431887,0.0025404596235603094,5.2314906,-0.030779464,5.210155
S2,410.0,1,0,0.7514419555664062,0.08807339519262314,0.751147957541021,-0.004842531359654849,9.0,0.02606084486389393,0.2784028045929978,74.76223724909083,10.996956925702554,118.49115969492179,111.3731177356846,44.06779661016949,35.712833404541016,0.0012030771162411973,0.02702411077916622,0.9898400902748108,0.0004272473743185401,0.0025404596235603094,5.2287107,-0.10202696,5.2054048
S2,415.0,1,0,0.7244160771369934,0.07869447022676468,0.724408172764256,-0.004417537975745799,7.0,0.025059454457697212,0.1791164701375937,73.89565231404835,10.961398987619715,121.28687954772242,110.15347957509104,37.28813559322034,35.72099685668945,0.0013433698121927613,0.029591837897896767,0.990571141242981,0.00036010201438330114,0.0021709268912672997,5.215867,-0.15857421,5.1937337
